points,superior_rating,price,Rich,Soft,age,rich,year,soft,light,fruity,attractive,great,richness,dense,intense,powerful,long,variety
94,1,2.059668789338189,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
85,0,1.595344300060418,0,0,0.0,0.0,0.0,0.0,0.0,0.3267663558728083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rosé
91,1,1.7886649117766558,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Champagne Blend
97,1,2.082227132969171,0,0,0.0,0.0,0.27765405313588504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37476732175876354,0.0,0.0,Chardonnay
85,0,1.670230418137594,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Riesling
87,0,1.5317625635685963,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4233672966335162,0.0,0.0,Riesling
93,1,2.0163875120864114,1,0,0.0,0.2929133368471551,0.6369649094872453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Champagne Blend
84,0,1.5551302597192842,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gamay
92,1,1.8495468204444896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gewürztraminer
90,1,1.576205308822663,0,0,0.21991494509411913,0.0,0.2526255938019926,0.0,0.0,0.0,0.0,0.0,0.0,0.32454056524590646,0.0,0.0,0.0,Gamay
87,0,1.762908032820627,0,1,0.0,0.0,0.294685491981926,0.3053752273984834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style White Blend
92,1,1.8636675993480407,1,0,0.0,0.2450301414581412,0.0,0.0,0.0,0.0,0.0,0.32945103857008023,0.0,0.0,0.0,0.0,0.0,Champagne Blend
90,1,1.657450685768658,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sauvignon Blanc
86,0,1.4761827010096757,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tannat-Cabernet
91,1,1.8876965711860154,0,0,0.35359959360392007,0.0,0.40619480074036296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
88,0,1.6821606241402574,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rhône-style Red Blend
84,0,1.4425776540291462,0,0,0.0,0.0,0.0,0.0,0.2998705697294411,0.0,0.32949036391197134,0.0,0.0,0.0,0.0,0.0,0.0,Rosé
87,0,1.79444802800064,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marsanne
84,0,1.9316237152776001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4288886124237751,0.0,0.0,Chardonnay
93,1,1.8248447612628298,0,0,0.24740318409994222,0.0,0.2842024959467976,0.0,0.0,0.0,0.0,0.0,0.0,0.36510646958108645,0.0,0.0,0.4013400535879656,Bordeaux-style Red Blend
91,1,1.713704021675243,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rosé
91,1,1.7886649117766558,1,0,0.3924690192499632,0.20732497500928018,0.22542287654546267,0.0,0.0,0.0,0.0,0.0,0.0,0.28959404576705083,0.0,0.0,0.0,Bordeaux-style Red Blend
87,0,1.8154477680247336,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.24798378786603534,0.0,0.0,0.0,0.0,0.0,0.2886575665222377,Champagne Blend
86,0,1.740211110170909,0,0,0.0,0.0,0.0,0.0,0.0,0.2422893575262499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinot Noir
88,0,1.6128303280571636,0,1,0.0,0.0,0.0,0.31260432286613593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42599504512890224,Rosé
87,0,1.713704021675243,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rhône-style Red Blend
90,1,1.595344300060418,1,0,0.0,0.2631434741408279,0.0,0.0,0.0,0.3142193573692294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bordeaux-style Red Blend
87,0,1.5551302597192842,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47222595775726356,0.0,0.0,0.0,0.0,0.0,Rosé
89,0,1.657450685768658,0,0,0.22583423566246036,0.0,0.25942533310153754,0.0,0.0,0.0,0.0,0.0,0.0,0.33327598750691767,0.0,0.0,0.0,Bordeaux-style Red Blend
85,0,1.576205308822663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.37952920711196847,0.0,0.0,0.0,0.0,0.0,0.0,Gewürztraminer
88,0,1.8495468204444896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
87,0,1.8154477680247336,1,0,0.0,0.24116399612085354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chardonnay
89,0,1.7826382233807831,0,0,0.2499051321283621,0.0,0.28707658941084474,0.0,0.0,0.0,0.0,0.0,0.0,0.36879873172821687,0.0,0.0,0.0,Pinot Noir
